Hour,Load [kW]
5070.0,5045.32143268205
5071.0,5336.397669182938
5072.0,6112.600966518637
5073.0,6791.778851687375
5074.0,6694.753439520413
5075.0,6500.702615186488
5076.0,6597.72802735345
5077.0,6791.778851687375
5078.0,7082.855088188262
5079.0,6985.829676021299
5080.0,6209.626378685601
5081.0,6888.8042638543375
5082.0,9023.363331527513
5083.0,9702.541216696247
5084.0,9120.388743694471
5085.0,8053.109209857886
5086.0,6888.8042638543375
5087.0,6403.677203019525
5088.0,6209.626378685601
5089.0,5821.524730017751
5090.0,5627.473905683824
5091.0,5530.448493516861
5092.0,5433.423081349901
5093.0,4948.296020515088
5094.0,5045.32143268205
5095.0,5336.397669182938
5096.0,6112.600966518637
5097.0,6791.778851687375
5098.0,6694.753439520413
5099.0,6500.702615186488
5100.0,6597.72802735345
5101.0,6791.778851687375
5102.0,7082.855088188262
5103.0,6985.829676021299
5104.0,6209.626378685601
5105.0,6888.8042638543375
5106.0,9023.363331527513
5107.0,9702.541216696247
5108.0,9120.388743694471
5109.0,8053.109209857886
5110.0,6888.8042638543375
5111.0,6403.677203019525
5112.0,6209.626378685601
5113.0,5821.524730017751
5114.0,5627.473905683824
5115.0,5530.448493516861
5116.0,5433.423081349901
5117.0,4948.296020515088
5118.0,5045.32143268205
5119.0,5336.397669182938
5120.0,6112.600966518637
5121.0,6791.778851687375
5122.0,6694.753439520413
5123.0,6500.702615186488
5124.0,6597.72802735345
5125.0,6791.778851687375
5126.0,7082.855088188262
5127.0,6985.829676021299
5128.0,6209.626378685601
5129.0,6888.8042638543375
5130.0,9023.363331527513
5131.0,9702.541216696247
5132.0,9120.388743694471
5133.0,8053.109209857886
5134.0,6888.8042638543375
5135.0,6403.677203019525
5136.0,6209.626378685601
5137.0,5821.524730017751
5138.0,5627.473905683824
5139.0,5530.448493516861
5140.0,5433.423081349901
5141.0,4948.296020515088
5142.0,5045.32143268205
5143.0,5336.397669182938
5144.0,6112.600966518637
5145.0,6791.778851687375
5146.0,6694.753439520413
5147.0,6500.702615186488
5148.0,6597.72802735345
5149.0,6791.778851687375
5150.0,7082.855088188262
5151.0,6985.829676021299
5152.0,6209.626378685601
5153.0,6888.8042638543375
5154.0,9023.363331527513
5155.0,9702.541216696247
5156.0,9120.388743694471
5157.0,8053.109209857886
5158.0,6888.8042638543375
5159.0,6403.677203019525
5160.0,6209.626378685601
5161.0,5821.524730017751
5162.0,5627.473905683824
5163.0,5530.448493516861
5164.0,5433.423081349901
5165.0,4948.296020515088
5166.0,5045.32143268205
5167.0,5336.397669182938
5168.0,6112.600966518637
5169.0,6791.778851687375
5170.0,6694.753439520413
5171.0,6500.702615186488
5172.0,6597.72802735345
5173.0,6791.778851687375
5174.0,7082.855088188262
5175.0,6985.829676021299
5176.0,6209.626378685601
5177.0,6888.8042638543375
5178.0,9023.363331527513
5179.0,9702.541216696247
5180.0,9120.388743694471
5181.0,8053.109209857886
5182.0,6888.8042638543375
5183.0,6403.677203019525
5184.0,6209.626378685601
5185.0,5821.524730017751
5186.0,5627.473905683824
5187.0,5530.448493516861
5188.0,5433.423081349901
5189.0,4948.296020515088
5190.0,5045.32143268205
5191.0,5336.397669182938
5192.0,6112.600966518637
5193.0,6791.778851687375
5194.0,6694.753439520413
5195.0,6500.702615186488
5196.0,6597.72802735345
5197.0,6791.778851687375
5198.0,7082.855088188262
5199.0,6985.829676021299
5200.0,6209.626378685601
5201.0,6888.8042638543375
5202.0,9023.363331527513
5203.0,9702.541216696247
5204.0,9120.388743694471
5205.0,8053.109209857886
5206.0,6888.8042638543375
5207.0,6403.677203019525
5208.0,6209.626378685601
5209.0,5821.524730017751
5210.0,5627.473905683824
5211.0,5530.448493516861
5212.0,5433.423081349901
5213.0,4948.296020515088
5214.0,5045.32143268205
5215.0,5336.397669182938
5216.0,6112.600966518637
5217.0,6791.778851687375
5218.0,6694.753439520413
5219.0,6500.702615186488
5220.0,6597.72802735345
5221.0,6791.778851687375
5222.0,7082.855088188262
5223.0,6985.829676021299
5224.0,6209.626378685601
5225.0,6888.8042638543375
5226.0,9023.363331527513
5227.0,9702.541216696247
5228.0,9120.388743694471
5229.0,8053.109209857886
5230.0,6888.8042638543375
5231.0,6403.677203019525
5232.0,6209.626378685601
5233.0,5821.524730017751
5234.0,5627.473905683824
5235.0,5530.448493516861
5236.0,5433.423081349901
5237.0,4948.296020515088
5238.0,5045.32143268205
5239.0,5336.397669182938
5240.0,6112.600966518637
5241.0,6791.778851687375
5242.0,6694.753439520413
5243.0,6500.702615186488
5244.0,6597.72802735345
5245.0,6791.778851687375
5246.0,7082.855088188262
5247.0,6985.829676021299
5248.0,6209.626378685601
5249.0,6888.8042638543375
5250.0,9023.363331527513
5251.0,9702.541216696247
5252.0,9120.388743694471
5253.0,8053.109209857886
5254.0,6888.8042638543375
5255.0,6403.677203019525
5256.0,6209.626378685601
5257.0,5821.524730017751
5258.0,5627.473905683824
5259.0,5530.448493516861
5260.0,5433.423081349901
5261.0,4948.296020515088
5262.0,5045.32143268205
5263.0,5336.397669182938
5264.0,6112.600966518637
5265.0,6791.778851687375
5266.0,6694.753439520413
5267.0,6500.702615186488
5268.0,6597.72802735345
5269.0,6791.778851687375
5270.0,7082.855088188262
5271.0,6985.829676021299
5272.0,6209.626378685601
5273.0,6888.8042638543375
5274.0,9023.363331527513
5275.0,9702.541216696247
5276.0,9120.388743694471
5277.0,8053.109209857886
5278.0,6888.8042638543375
5279.0,6403.677203019525
5280.0,6209.626378685601
5281.0,5821.524730017751
5282.0,5627.473905683824
5283.0,5530.448493516861
5284.0,5433.423081349901
5285.0,4948.296020515088
5286.0,5045.32143268205
5287.0,5336.397669182938
5288.0,6112.600966518637
5289.0,6791.778851687375
5290.0,6694.753439520413
5291.0,6500.702615186488
5292.0,6597.72802735345
5293.0,6791.778851687375
5294.0,7082.855088188262
5295.0,6985.829676021299
5296.0,6209.626378685601
5297.0,6888.8042638543375
5298.0,9023.363331527513
5299.0,9702.541216696247
5300.0,9120.388743694471
5301.0,8053.109209857886
5302.0,6888.8042638543375
5303.0,6403.677203019525
5304.0,6209.626378685601
5305.0,5821.524730017751
5306.0,5627.473905683824
5307.0,5530.448493516861
5308.0,5433.423081349901
5309.0,4948.296020515088
5310.0,5045.32143268205
5311.0,5336.397669182938
5312.0,6112.600966518637
5313.0,6791.778851687375
5314.0,6694.753439520413
5315.0,6500.702615186488
5316.0,6597.72802735345
5317.0,6791.778851687375
5318.0,7082.855088188262
5319.0,6985.829676021299
5320.0,6209.626378685601
5321.0,6888.8042638543375
5322.0,9023.363331527513
5323.0,9702.541216696247
5324.0,9120.388743694471
5325.0,8053.109209857886
5326.0,6888.8042638543375
5327.0,6403.677203019525
5328.0,6209.626378685601
5329.0,5821.524730017751
5330.0,5627.473905683824
5331.0,5530.448493516861
5332.0,5433.423081349901
5333.0,4948.296020515088
5334.0,5045.32143268205
5335.0,5336.397669182938
5336.0,6112.600966518637
5337.0,6791.778851687375
5338.0,6694.753439520413
5339.0,6500.702615186488
5340.0,6597.72802735345
5341.0,6791.778851687375
5342.0,7082.855088188262
5343.0,6985.829676021299
5344.0,6209.626378685601
5345.0,6888.8042638543375
5346.0,9023.363331527513
5347.0,9702.541216696247
5348.0,9120.388743694471
5349.0,8053.109209857886
5350.0,6888.8042638543375
5351.0,6403.677203019525
5352.0,6209.626378685601
5353.0,5821.524730017751
5354.0,5627.473905683824
5355.0,5530.448493516861
5356.0,5433.423081349901
5357.0,4948.296020515088
5358.0,5045.32143268205
5359.0,5336.397669182938
5360.0,6112.600966518637
5361.0,6791.778851687375
5362.0,6694.753439520413
5363.0,6500.702615186488
5364.0,6597.72802735345
5365.0,6791.778851687375
5366.0,7082.855088188262
5367.0,6985.829676021299
5368.0,6209.626378685601
5369.0,6888.8042638543375
5370.0,9023.363331527513
5371.0,9702.541216696247
5372.0,9120.388743694471
5373.0,8053.109209857886
5374.0,6888.8042638543375
5375.0,6403.677203019525
5376.0,6209.626378685601
5377.0,5821.524730017751
5378.0,5627.473905683824
5379.0,5530.448493516861
5380.0,5433.423081349901
5381.0,4948.296020515088
5382.0,5045.32143268205
5383.0,5336.397669182938
5384.0,6112.600966518637
5385.0,6791.778851687375
5386.0,6694.753439520413
5387.0,6500.702615186488
5388.0,6597.72802735345
5389.0,6791.778851687375
5390.0,7082.855088188262
5391.0,6985.829676021299
5392.0,6209.626378685601
5393.0,6888.8042638543375
5394.0,9023.363331527513
5395.0,9702.541216696247
5396.0,9120.388743694471
5397.0,8053.109209857886
5398.0,6888.8042638543375
5399.0,6403.677203019525
5400.0,6209.626378685601
5401.0,5821.524730017751
5402.0,5627.473905683824
5403.0,5530.448493516861
5404.0,5433.423081349901
5405.0,4948.296020515088
5406.0,5045.32143268205
5407.0,5336.397669182938
5408.0,6112.600966518637
5409.0,6791.778851687375
5410.0,6694.753439520413
5411.0,6500.702615186488
5412.0,6597.72802735345
5413.0,6791.778851687375
5414.0,7082.855088188262
5415.0,6985.829676021299
5416.0,6209.626378685601
5417.0,6888.8042638543375
5418.0,9023.363331527513
5419.0,9702.541216696247
5420.0,9120.388743694471
5421.0,8053.109209857886
5422.0,6888.8042638543375
5423.0,6403.677203019525
5424.0,6209.626378685601
5425.0,5821.524730017751
5426.0,5627.473905683824
5427.0,5530.448493516861
5428.0,5433.423081349901
5429.0,4948.296020515088
5430.0,5045.32143268205
5431.0,5336.397669182938
5432.0,6112.600966518637
5433.0,6791.778851687375
5434.0,6694.753439520413
5435.0,6500.702615186488
5436.0,6597.72802735345
5437.0,6791.778851687375
5438.0,7082.855088188262
5439.0,6985.829676021299
5440.0,6209.626378685601
5441.0,6888.8042638543375
5442.0,9023.363331527513
5443.0,9702.541216696247
5444.0,9120.388743694471
5445.0,8053.109209857886
5446.0,6888.8042638543375
5447.0,6403.677203019525
5448.0,6209.626378685601
5449.0,5821.524730017751
5450.0,5627.473905683824
5451.0,5530.448493516861
5452.0,5433.423081349901
5453.0,4948.296020515088
5454.0,5045.32143268205
5455.0,5336.397669182938
5456.0,6112.600966518637
5457.0,6791.778851687375
5458.0,6694.753439520413
5459.0,6500.702615186488
5460.0,6597.72802735345
5461.0,6791.778851687375
5462.0,7082.855088188262
5463.0,6985.829676021299
5464.0,6209.626378685601
5465.0,6888.8042638543375
5466.0,9023.363331527513
5467.0,9702.541216696247
5468.0,9120.388743694471
5469.0,8053.109209857886
5470.0,6888.8042638543375
5471.0,6403.677203019525
5472.0,6209.626378685601
5473.0,5821.524730017751
5474.0,5627.473905683824
5475.0,5530.448493516861
5476.0,5433.423081349901
5477.0,4948.296020515088
5478.0,5045.32143268205
5479.0,5336.397669182938
5480.0,6112.600966518637
5481.0,6791.778851687375
5482.0,6694.753439520413
5483.0,6500.702615186488
5484.0,6597.72802735345
5485.0,6791.778851687375
5486.0,7082.855088188262
5487.0,6985.829676021299
5488.0,6209.626378685601
5489.0,6888.8042638543375
5490.0,9023.363331527513
5491.0,9702.541216696247
5492.0,9120.388743694471
5493.0,8053.109209857886
5494.0,6888.8042638543375
5495.0,6403.677203019525
5496.0,6209.626378685601
5497.0,5821.524730017751
5498.0,5627.473905683824
5499.0,5530.448493516861
5500.0,5433.423081349901
5501.0,4948.296020515088
5502.0,5045.32143268205
5503.0,5336.397669182938
5504.0,6112.600966518637
5505.0,6791.778851687375
5506.0,6694.753439520413
5507.0,6500.702615186488
5508.0,6597.72802735345
5509.0,6791.778851687375
5510.0,7082.855088188262
5511.0,6985.829676021299
5512.0,6209.626378685601
5513.0,6888.8042638543375
5514.0,9023.363331527513
5515.0,9702.541216696247
5516.0,9120.388743694471
5517.0,8053.109209857886
5518.0,6888.8042638543375
5519.0,6403.677203019525
5520.0,6209.626378685601
5521.0,5821.524730017751
5522.0,5627.473905683824
5523.0,5530.448493516861
5524.0,5433.423081349901
5525.0,4948.296020515088
5526.0,5045.32143268205
5527.0,5336.397669182938
5528.0,6112.600966518637
5529.0,6791.778851687375
5530.0,6694.753439520413
5531.0,6500.702615186488
5532.0,6597.72802735345
5533.0,6791.778851687375
5534.0,7082.855088188262
5535.0,6985.829676021299
5536.0,6209.626378685601
5537.0,6888.8042638543375
5538.0,9023.363331527513
5539.0,9702.541216696247
5540.0,9120.388743694471
5541.0,8053.109209857886
5542.0,6888.8042638543375
5543.0,6403.677203019525
5544.0,6209.626378685601
5545.0,5821.524730017751
5546.0,5627.473905683824
5547.0,5530.448493516861
5548.0,5433.423081349901
5549.0,4948.296020515088
5550.0,5045.32143268205
5551.0,5336.397669182938
5552.0,6112.600966518637
5553.0,6791.778851687375
5554.0,6694.753439520413
5555.0,6500.702615186488
5556.0,6597.72802735345
5557.0,6791.778851687375
5558.0,7082.855088188262
5559.0,6985.829676021299
5560.0,6209.626378685601
5561.0,6888.8042638543375
5562.0,9023.363331527513
5563.0,9702.541216696247
5564.0,9120.388743694471
5565.0,8053.109209857886
5566.0,6888.8042638543375
5567.0,6403.677203019525
5568.0,6209.626378685601
5569.0,5821.524730017751
5570.0,5627.473905683824
5571.0,5530.448493516861
5572.0,5433.423081349901
5573.0,4948.296020515088
5574.0,5045.32143268205
5575.0,5336.397669182938
5576.0,6112.600966518637
5577.0,6791.778851687375
5578.0,6694.753439520413
5579.0,6500.702615186488
5580.0,6597.72802735345
5581.0,6791.778851687375
5582.0,7082.855088188262
5583.0,6985.829676021299
5584.0,6209.626378685601
5585.0,6888.8042638543375
5586.0,9023.363331527513
5587.0,9702.541216696247
5588.0,9120.388743694471
5589.0,8053.109209857886
5590.0,6888.8042638543375
5591.0,6403.677203019525
5592.0,6209.626378685601
5593.0,5821.524730017751
5594.0,5627.473905683824
5595.0,5530.448493516861
5596.0,5433.423081349901
5597.0,4948.296020515088
5598.0,5045.32143268205
5599.0,5336.397669182938
5600.0,6112.600966518637
5601.0,6791.778851687375
5602.0,6694.753439520413
5603.0,6500.702615186488
5604.0,6597.72802735345
5605.0,6791.778851687375
5606.0,7082.855088188262
5607.0,6985.829676021299
5608.0,6209.626378685601
5609.0,6888.8042638543375
5610.0,9023.363331527513
5611.0,9702.541216696247
5612.0,9120.388743694471
5613.0,8053.109209857886
5614.0,6888.8042638543375
5615.0,6403.677203019525
5616.0,6209.626378685601
5617.0,5821.524730017751
5618.0,5627.473905683824
5619.0,5530.448493516861
5620.0,5433.423081349901
5621.0,4948.296020515088
5622.0,5045.32143268205
5623.0,5336.397669182938
5624.0,6112.600966518637
5625.0,6791.778851687375
5626.0,6694.753439520413
5627.0,6500.702615186488
5628.0,6597.72802735345
5629.0,6791.778851687375
5630.0,7082.855088188262
5631.0,6985.829676021299
5632.0,6209.626378685601
5633.0,6888.8042638543375
5634.0,9023.363331527513
5635.0,9702.541216696247
5636.0,9120.388743694471
5637.0,8053.109209857886
5638.0,6888.8042638543375
5639.0,6403.677203019525
5640.0,6209.626378685601
5641.0,5821.524730017751
5642.0,5627.473905683824
5643.0,5530.448493516861
5644.0,5433.423081349901
5645.0,4948.296020515088
5646.0,5045.32143268205
5647.0,5336.397669182938
5648.0,6112.600966518637
5649.0,6791.778851687375
5650.0,6694.753439520413
5651.0,6500.702615186488
5652.0,6597.72802735345
5653.0,6791.778851687375
5654.0,7082.855088188262
5655.0,6985.829676021299
5656.0,6209.626378685601
5657.0,6888.8042638543375
5658.0,9023.363331527513
5659.0,9702.541216696247
5660.0,9120.388743694471
5661.0,8053.109209857886
5662.0,6888.8042638543375
5663.0,6403.677203019525
5664.0,6209.626378685601
5665.0,5821.524730017751
5666.0,5627.473905683824
5667.0,5530.448493516861
5668.0,5433.423081349901
5669.0,4948.296020515088
5670.0,5045.32143268205
5671.0,5336.397669182938
5672.0,6112.600966518637
5673.0,6791.778851687375
5674.0,6694.753439520413
5675.0,6500.702615186488
5676.0,6597.72802735345
5677.0,6791.778851687375
5678.0,7082.855088188262
5679.0,6985.829676021299
5680.0,6209.626378685601
5681.0,6888.8042638543375
5682.0,9023.363331527513
5683.0,9702.541216696247
5684.0,9120.388743694471
5685.0,8053.109209857886
5686.0,6888.8042638543375
5687.0,6403.677203019525
5688.0,6209.626378685601
5689.0,5821.524730017751
5690.0,5627.473905683824
5691.0,5530.448493516861
5692.0,5433.423081349901
5693.0,4948.296020515088
5694.0,5045.32143268205
5695.0,5336.397669182938
5696.0,6112.600966518637
