Hour,Temperature/K
5985.0,300.90999999999997
5986.0,300.90999999999997
5987.0,300.90999999999997
5988.0,300.90999999999997
5989.0,300.90999999999997
5990.0,300.90999999999997
5991.0,300.90999999999997
5992.0,300.90999999999997
5993.0,300.90999999999997
5994.0,300.90999999999997
5995.0,300.90999999999997
5996.0,300.90999999999997
5997.0,300.90999999999997
5998.0,300.90999999999997
5999.0,300.90999999999997
6000.0,301.10999999999996
6001.0,301.10999999999996
6002.0,301.10999999999996
6003.0,301.10999999999996
6004.0,301.10999999999996
6005.0,301.10999999999996
6006.0,301.10999999999996
6007.0,301.10999999999996
6008.0,301.10999999999996
6009.0,301.10999999999996
6010.0,301.10999999999996
6011.0,301.10999999999996
6012.0,301.10999999999996
6013.0,301.10999999999996
6014.0,301.10999999999996
6015.0,301.10999999999996
6016.0,301.10999999999996
6017.0,301.10999999999996
6018.0,301.10999999999996
6019.0,301.10999999999996
6020.0,301.10999999999996
6021.0,301.10999999999996
6022.0,301.10999999999996
6023.0,301.10999999999996
6024.0,300.66999999999996
6025.0,300.66999999999996
6026.0,300.66999999999996
6027.0,300.66999999999996
6028.0,300.66999999999996
6029.0,300.66999999999996
6030.0,300.66999999999996
6031.0,300.66999999999996
6032.0,300.66999999999996
6033.0,300.66999999999996
6034.0,300.66999999999996
6035.0,300.66999999999996
6036.0,300.66999999999996
6037.0,300.66999999999996
6038.0,300.66999999999996
6039.0,300.66999999999996
6040.0,300.66999999999996
6041.0,300.66999999999996
6042.0,300.66999999999996
6043.0,300.66999999999996
6044.0,300.66999999999996
6045.0,300.66999999999996
6046.0,300.66999999999996
6047.0,300.66999999999996
6048.0,301.02
6049.0,301.02
6050.0,301.02
6051.0,301.02
6052.0,301.02
6053.0,301.02
6054.0,301.02
6055.0,301.02
6056.0,301.02
6057.0,301.02
6058.0,301.02
6059.0,301.02
6060.0,301.02
6061.0,301.02
6062.0,301.02
6063.0,301.02
6064.0,301.02
6065.0,301.02
6066.0,301.02
6067.0,301.02
6068.0,301.02
6069.0,301.02
6070.0,301.02
6071.0,301.02
6072.0,300.95
6073.0,300.95
6074.0,300.95
6075.0,300.95
6076.0,300.95
6077.0,300.95
6078.0,300.95
6079.0,300.95
6080.0,300.95
6081.0,300.95
6082.0,300.95
6083.0,300.95
6084.0,300.95
